lat,lon,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year-month-day,berry,latlon
63.563958091980005,29.013431098545688,26.0,12.9,19.8,26.0,12.9,19.8,14.3,74.0,7.9,55.4,1013.3,32.5,32.6,None,None,None,0.0,2020-07-20,bilberry,63.563958091980-29.013431098546-2020-07-20-bilberry
60.51811075857231,25.54280079565545,25.4,17.1,20.9,25.4,17.1,20.9,14.6,69.1,11.5,259.8,1013.7,59.7,40.3,265.6,18.2,7.0,0.0,2020-07-20,bilberry,60.518110758572-25.542800795655-2020-07-20-bilberry
64.26322799288499,30.096842705717464,21.4,12.1,16.4,21.4,12.1,16.4,9.0,63.9,10.8,29.8,1013.9,32.1,45.2,289.5,24.8,7.0,0.61,2019-07-20,bilberry,64.263227992885-30.096842705717-2019-07-20-bilberry
60.87598783600712,21.8394346714336,21.5,11.2,17.1,21.5,11.2,17.1,12.7,75.9,26.8,183.2,1016.3,12.7,39.9,291.4,17.7,7.0,0.16,2018-08-16,bilberry,60.875987836007-21.839434671434-2018-08-16-bilberry
66.17769341440211,27.88754109847376,12.5,4.5,9.2,12.5,3.5,8.5,6.1,82.7,21.2,334.0,1005.4,65.5,25.0,199.6,17.3,6.0,0.33,2018-08-21,bilberry,66.177693414402-27.887541098474-2018-08-21-bilberry
67.1628591846971,28.15452085990108,24.1,17.8,20.5,24.1,17.8,20.5,18.1,87.2,10.2,164.3,1004.7,79.3,18.2,None,None,None,0.31,2018-07-22,cloudberry,67.162859184697-28.154520859901-2018-07-22-cloudberry
69.57940593185836,28.79786167051738,7.1,0.4,4.9,5.0,-3.0,2.6,0.3,73.1,14.4,202.8,1028.3,88.0,36.2,None,None,None,0.41,2021-09-18,lingonberry,69.579405931858-28.797861670517-2021-09-18-lingonberry
69.57940593185836,28.79786167051738,11.2,7.9,9.4,11.2,6.5,8.8,5.6,77.0,10.8,80.4,1007.3,97.4,32.8,None,None,None,0.67,2021-07-29,cloudberry,69.579405931858-28.797861670517-2021-07-29-cloudberry
61.18794906342608,23.09255001285816,16.2,9.2,12.8,16.2,8.1,12.5,11.1,89.9,17.8,166.0,1007.2,54.9,36.9,136.8,7.5,4.0,0.5,2018-08-26,lingonberry,61.187949063426-23.092550012858-2018-08-26-lingonberry
62.41008591934507,21.964546229480245,20.5,7.2,13.6,20.5,7.2,13.6,9.9,81.7,7.5,131.2,1023.3,28.7,30.0,199.5,11.9,5.0,0.87,2022-08-23,lingonberry,62.410085919345-21.964546229480-2022-08-23-lingonberry
